TIMETABLE I SEM 2025 -26,,,,,,,,,,,,
COMP CODE,COURSE NO.,COURSE TITLE,L,P,U,SEC,INSTRUCTOR_IN_CHARGE/INSTR UCTOR,ROOM,DAYS,HOUR S,MIDSEM,ENDSEM
2420,AN F311,PRINCIPLES OF AERODYNAMICS,3,0,3,L1,"PARDHA SARADHI GURUGUBELLI
VENKATA",F201,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
2422,AN F313,"FLIGHT MECHANICS AND
CONTROLS",3,0,3,L1,JAYAPRAKASH K S,G205,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
2863,BIO F101,"INTRODUCTION TO BIOLOGICAL
SCIENCES",2,1,3,L1,Gireesha Thipperudrappa Mohannath,F102,W F,9,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,Supratim Ghosh,,,,,
,,,,,,L2,Bibhas Roy,F103,M W,9,07/10 - 1.30 - 3.00PM,04/12 FN
,,,,,,,Piyush Khandelia,,,,,
,,,,,,T1,SRIDEV MOHAPATRA,G208,T,1,,
,,,,,,,Ankita Paul,,,,,
,,,,,,,Brahmandam N S A L Gayatri,,,,,
,,,,,,,Devarakonda Yogeshwar,,,,,
,,,,,,,Manali Chindarkar,,,,,
,,,,,,,Priyanka Roy,,,,,
,,,,,,,Sian Maria Dorothy D'silva,,,,,
,,,,,,T2,Sourav Chowdhury,G207,T,1,,
,,,,,,T3,Jayati Ray Dutta,G107,T,1,,
,,,,,,T4,Gireesha Thipperudrappa Mohannath,G204,T,1,,
,,,,,,T5,Naga Mohan Kommu,G203,T,1,,
,,,,,,T6,Vivek Sharma,G202,T,1,,
,,,,,,T7,Jamma Trinath,G105,T,1,,
,,,,,,T8,Piyush Khandelia,G206,T,1,,
,,,,,,T9,Pragya Komal,G205,T,1,,
,,,,,,T10,Bibhas Roy,F106,T,1,,
,,,,,,T11,Supritim Ghoshe,F208,T,1,,
,,,,,,P1,Sridev Mohapatra,A122,M,78,,
,,,,,,,Atish Kumar Behera,,,,,
,,,,,,P2,Sourav Chowdhury,A122,M,34,,
,,,,,,,Moli Rani,,,,,
,,,,,,P3,Jayati Ray Dutta,A122,Th,910,,
,,,,,,,Ananya Bose,,,,,
,,,,,,P4,Gireesha Thipperudrappa Mohannath,A122,Th,34,,
,,,,,,,Tammineni Ramya,,,,,
,,,,,,P5,Naga Mohan Kommu,A122,F,78,,
,,,,,,,Puja Das,,,,,
,,,,,,P6,Vivek Sharma,A122,W,78,,
,,,,,,,Dharani Sen,,,,,
,,,,,,P7,Jamma Trinath,A122,Th,78,,
,,,,,,,Harshada Deshpande,,,,,
,,,,,,P8,Piyush Khandelia,A122,T,89,,
,,,,,,,Poosala Ramya Sri,,,,,
,,,,,,P9,Pragya Komal,A122,F,34,,
,,,,,,,Gopu Chamundeshwari Devi,,,,,
,,,,,,P10,Bibhas Roy,A122,T,34,,
,,,,,,,Keerthana V R,,,,,
,,,,,,P11,SUPRATIM GHOSH,A122,W,34,,
,,,,,,,Maddipatla Naga Sai Karthik,,,,,
1112,BIO F211,BIOLOGICAL CHEMISTRY,3,0,3,L1,DEBASRI BANDYOPADHYAY,G101,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,Debasri Bandyopadhyay,G101,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,T1,Debasri Bandyopadhyay,G101,W,1,,
1114,BIO F212,MICROBIOLOGY,3,1,4,L1,RUCHI JAIN DEY,G101,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,Ruchi Jain Dey,G101,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,P1,Puja Bhardwaj,A123,Th,6 7 8,,
,,,,,,,Risa Natarajan,,,,,
,,,,,,P2,Vanishika Kumari,A123,T,6 7 8,,
,,,,,,,Peddiraju N V S J Swaroop,,,,,
1113,BIO F213,CELL BIOLOGY,3,0,3,L1,BIBHAS ROY,G101,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Shuvadeep Maity,,,,,
,,,,,,,Bibhas Roy,G101,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Shuvadeep Maity,,,,,
,,,,,,T1,Bibhas Roy,G101,M,1,,
,,,,,,,Shuvadeep Maity,,,,,
1115,BIO F214,INTEGRATED BIOLOGY,3,0,3,L1,JAYATI RAY DUTTA,G101,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,,Amartya Sanyal,,,,,
,,,,,,T1,Jayati Ray Dutta,G101,F,1,,
,,,,,,,Amartya Sanyal,,,,,
1941,BIO F216,"WATER SANITATION AND SOLID
WASTE MANAGEMENT",3,0,3,L1,SUPRATIM GHOSH,G102,F,7,10/10 - 3.30 - 5.00PM,11/12 FN
1427,BIO F311,RECOMBINANT DNA TECH,3,0,3,L1,VIDYA RAJESH,G101,M W F,8,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,T1,Vidya Rajesh,G101,Th,8,,
1428,BIO F312,PLANT PHYSIOLOGY,3,0,3,L1,SRIDEV MOHAPATRA,G101,M W F,3,10/10 - 3.30 - 5.00PM,11/12 FN
,,,,,,T1,Sridev Mohapatra,F201,Th,1,,
1429,BIO F313,ANIMAL PHYSIOLOGY,3,0,3,L1,PRAGYA KOMAL,G101,M W F,9,07/10 - 3.30 - 5.00PM,04/12 AN
,,,,,,T1,Pragya Komal,G101,T,8,,
,BIO F266,STUDY PROJECT,0,0,3,,Soumyananda Chakraborti,,,,,
,BIO F366,LABORATORY PROJECT,0,0,3,,Soumyananda Chakraborti,,,,,
,BIO F376,DESIGN PROJECT,0,0,3,,Soumyananda Chakraborti,,,,,
,BIO F377,DESIGN PROJECT,0,0,3,,Soumyananda Chakraborti,,,,,
2122,BIO G510,"APPL OF COMP AND STATS IN
BIOLOGY",3,2,5,L1,AMARTYA SANYAL,G105,T Th,5,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Naga Mohan Kommu,,,,,
,,,,,,,Amartya Sanyal,G105,W,7,,
,,,,,,,Naga Mohan Kommu,,,,,
,,,,,,P1,Amartya Sanyal,A102,T Th,89,,
,,,,,,,Kottam Geetha Lakshmi,,,,,
,,,,,,,Naga Mohan Kommu,,,,,
,,,,,,,Satarupa Das,,,,,
71,BIO G512,MOLEC MECH OF GENE EXPRE,3,2,5,L1,VIVEK SHARMA,G104,M W F,3,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,,Gireesha Thipperudrappa Mohannath,,,,,
,,,,,,P1,Vivek Sharma,A124,T,89,,
,,,,,,,Abirami T S,,,,,
,,,,,,,Aravind B,,,,,
,,,,,,,Gireesha Thipperudrappa Mohannath,,,,,
,,,,,,,Vandana Joshi,,,,,
,,,,,,,Vivek Sharma,A124,Th,910,,
,,,,,,,Abirami T S,,,,,
,,,,,,,Aravind B,,,,,
,,,,,,,Gireesha Thipperudrappa Mohannath,,,,,
,,,,,,,Vandana Joshi,,,,,
392,BIO G514,MOLECULAR IMMUNOLOGY,3,2,5,L1,JAMMA TRINATH,G105,M W F,5,07/10 - 11.30 - 1.00PM,03/12 AN
,,,,,,P1,Ashna Fathima,A123,T,67,,
,,,,,,,Gayatri Reghu,,,,,
,,,,,,,Nandigam Pardhipa,,,,,
,,,,,,,Ashna Fathima,A123,M,89,,
,,,,,,,Gayatri Reghu,,,,,
,,,,,,,Nandigam Pardhipa,,,,,
2008,BIO G524,ANIMAL CELL TECHNOLOGY,3,2,5,L1,PIYUSH KHANDELIA,G105,M W F,4,07/10 - 11.30 - 1.00PM,03/12 AN
,,,,,,,Kumar Pranav Narayan,,,,,
,,,,,,P1,Piyush Khandelia,A121,T Th,45,,
,,,,,,,E Priyanka,,,,,
,,,,,,,Kumar Pranav Narayan,,,,,
,,,,,,,Pragati Karemore,,,,,
,,,,,,,Sridhanya V M,,,,,
2007,BIO G525,ENVIR BIOTECH & WASTE MGMT,3,2,5,L1,SANKAR GANESH P,G105,T,3,06/10 - 11.30 - 1.00PM,01/12 AN
,,,,,,,Sankar Ganesh P,G105,Th,3,,
,,,,,,,Sankar Ganesh P,G105,Th,8,,
,,,,,,P1,Sankar Ganesh P,A002,M W,89,,
,,,,,,,Kulal Ravindra Dnyanaba,,,,,
,,,,,,,Vadla Pallavi,,,,,
,,,,,,,Varsha Sriram,,,,,
2168,BIO G561,ADV RECOMBINANT DNA TECH,3,2,5,L1,NISHITH GUPTA,G105,T Th,2,09/10 -  1.30 - 3.00PM,09/12 FN
,,,,,,,Soumyananda Chakraborti,,,,,
,,,,,,,Nishith Gupta,G105,F,10,,
,,,,,,,Soumyananda Chakraborti,,,,,
,,,,,,P1,Nishith Gupta,A124,M W,67,,
,,,,,,,Devika P,,,,,
,,,,,,,Rukhsar Aman,,,,,
,,,,,,,Soumyananda Chakraborti,,,,,
,,,,,,,Vaibhav Jain,,,,,
2017,BIO G651,PROTEIN & ENZYME BIOENGG,3,2,5,L1,KIRTIMAAN SYAL,G105,T Th,4,08/10 -  1.30 - 3.00PM,06/12 FN
,,,,,,,Sourav Chowdhury,,,,,
,,,,,,,Kirtimaan Syal,G105,M,7,,
,,,,,,,Sourav Chowdhury,,,,,
,,,,,,P1,Kirtimaan Syal,A124,W F,89,,
,,,,,,,Deeptanshu Pandey,,,,,
,,,,,,,Raghav Worah,,,,,
,,,,,,,Shubham Kumar Sinha,,,,,
,,,,,,,Sourav Chowdhury,,,,,
1368,BIOT F345,PROTEOMICS,3,0,3,L1,SHUVADEEP MAITY,G104,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
1377,BIOT F422,NANOBIOTECHOLOGY,3,0,3,L1,MOHAN RAO CHINTALAGIRI,G104,T Th,3,11/10 - 1.30 - 3.00PM,13/12 FN
,,,,,,,Krishanu Ray,,,,,
,,,,,,,Krishanu Ray,G104,W,10,,
,,,,,,,Mohan Rao Chintalagiri,,,,,
549,BITS C790T,INDEPENDENT STUDY,0,0,1,,ALIVELU MANGA PARIMI,,,,,
596,BITS C791T,TEACHING PRACTICE I,0,0,1,,ALIVELU MANGA PARIMI,,,,,
520,BITS C797T,PHD SEMINAR,0,0,1,,ALIVELU MANGA PARIMI,,,,,
553,BITS C799T,PHD THESIS,0,0,10,,ALIVELU MANGA PARIMI,,,,,
2128,BITS E593,READING COURSE I,0,0,5,,ALIVELU MANGA PARIMI,,,,,
2490,BITS E594,READING COURSE II,0,0,5,,ALIVELU MANGA PARIMI,,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,3,0,5,L1,SRINIVASA PRAKASH REGALLA,I212,M W F,5,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,,Kunaljeet Roy,,,,,
,,,,,,,Naraparaju Kishore Kumar,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,0,0,1,,,,,,,
1003,BITS F103,,1,1,2,L1,Kurra Suresh,F104,M W,2,11/10 - 9.30 - 11.00AM,15/12 FN
,,,,,,L2,Kurra Suresh,F105,T,7,11/10 - 9.30 - 11.00AM,15/12 FN
,,,,,,,,F105,F,2,,
,,,,,,P1,Akshay Gundla,D208 A,M W,34,,
,,,,,,,Muddasani Rajkumar,,,,,
,,,,,,,Vemu Sahiti,,,,,
,,,,,,,"Rahul Kumar
K Sai Sandeep",,,,,
,,,,,,,,,,,,
,,,,,,,Meduri Sitaram,,,,,
,,,,,,P2,Hanan H,WS,F,34,,
,,,,,,,Jinka Chaitanya,,M,78,,
,,,,,,,Vemu Sahiti,,,,,
,,,,,,,"Rahul Kumar K Sai Sandeep
Huzef Ur Rahman",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P3,Md. Ikramullah Khan,WS,T Th,34,,
,,,,,,,Reddybathini Narendra,,,,,
,,,,,,,Vasan A,,,,,
,,,,,,,"Valmiki Ashwith Kumar Shine Jude Hamilton A
Gaurav Sharma",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P4,Ansab Shafi Mir,WS,M W,34,,
,,,,,,,Meenu Krishnan,,,,,
,,,,,,,Dilawaiz Ali,,,,,
,,,,,,,"Valmiki Ashwith Kumar Shine Jude Hamilton A
Gaurav Sharma",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P5,Neha Sethy,WS,W F,78,,
,,,,,,,Chirdeep N R,,,,,
,,,,,,,Nistala Likhita,,,,,
,,,,,,,"Mohd Firasath Ali
G Prashanth Kumar Reddy K S Deepak",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P6,Renuka Roy,WS,T,89,,
,,,,,,,Navaneetha E,,Th,910,,
,,,,,,,Shibajee Sutar,,,,,
,,,,,,,"Mohd Firasath Ali
G Prashanth Kumar Reddy Nakka Muralikrishna",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P7,N Pooja,D208 A,T,89,,
,,,,,,,Ankit Ullegaddi,,Th,910,,
,,,,,,,Vishista Kaushik,,,,,
,,,,,,,"Badar Ali
Vempada Vasudeva Rao Renuka Pradeep Rekhade",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P8,Alagu Lavanya T,D208 A,F,34,,
,,,,,,,Ambili P,,M,78,,
,,,,,,,Kushagra Pandey,,,,,
,,,,,,,"Badar Ali
Vempada Vasudeva Rao Sujith R",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P9,Sourabh Soni,D208 A,T Th,34,,
,,,,,,,Ankur Abhishek,,,,,
,,,,,,,Renuka Pradeep Rekhade,,,,,
,,,,,,,"G Prashanth Kumar Reddy Pabbala Siva Prasad
Muneshu Babu Nitta",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,P10,Siddartha Keisham,D208 A,W F,78,,
,,,,,,,Jella Sowjanya,,,,,
,,,,,,,K RAJITHA,,,,,
,,,,,,,"Rahul Kumar K Sai Sandeep
Pichika S V V S Narayana",,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1004,BITS F111,THERMODYNAMICS,3,0,3,L1,Ramesh Adusumalli,F105,T Th,5,08/10 - 3.30 - 5.00PM,06/12 AN
,,,,,,,Ramesh Adusumalli,F105,F,10,08/10 - 3.30 - 5.00PM,06/12 AN
,,,,,,L2,SANTANU PRASAD DATTA,F103,T Th,5,08/10 - 3.30 - 5.00PM,06/12 AN
,,,,,,,Santanu Prasad Datta,F103,F,10,08/10 - 3.30 - 5.00PM,06/12 AN
,,,,,,T1,Afkham Mir,F201,M,10,,
,,,,,,T2,Debirupa Mitra,I113,M,10,,
,,,,,,T3,Ramendra Kishor Pal,I122,M,10,,
,,,,,,T4,Srinivas Appari,I114,M,10,,
,,,,,,T5,Harinadha Guidituri,G105,M,10,,
,,,,,,T6,Santanu Prasad Datta,G106,M,10,,
,,,,,,T7,Supradeepan K,G203,M,10,,
,,,,,,T8,Ram Chandra Murthy Kalluri,F203,M,10,,
,,,,,,T9,Naveen Kumar Shrivastava,I212,M,10,,
,,,,,,T10,R Parameshwaran,G108,M,10,,
1005,BITS F112,TECHNICAL REPORT WRITING,2,0,2,L1,TONY SEBASTIAN,G207,M W,5,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L2,Tba,F207,M W,5,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L3,Madhavi Jha,F208,M W,5,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L4,Sarbani Banerjee Belur,G207,T Th,2,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L5,Madhushree Chakrabarty,G106,T Th,2,10/10 -  1.30 - 3.00PM,11/12 FN
,,,,,,L6,Harsh Mittal,G205,T Th,2,10/10 -  1.30 - 3.00PM,11/12 FN
1858,BITS F113,GENERAL MATHEMATICS I,3,0,3,L1,ROHIT GUPTA,I211,M W F,8,06/10 -  1.30 - 3.00PM,02/12 FN
,,,,,,T1,Rohit Gupta,I211,T,10,,
,,,,,,,Komal Kumar,,,,,
1892,BITS F214,SCIENCE TECH & MODERNITY,3,0,3,L1,BISWANATH DASH,J115,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Biswanath Dash,J115,M,10,09/10 - 9.30 - 11.00AM,08/12 FN
1861,BITS F218,GENERAL MATHEMATICS III,3,0,3,L1,JHUMA SEN GUPTA,I213,M W F,8,06/10 -  9.30 - 11.00AM,01/12 FN
,,,,,,T1,Jhuma Sen Gupta,I212,T,1,,
,,,,,,,Rabindranath Chakrabortty,,,,,
1632,BITS F225,ENVIRONMENTAL STUDIES,3,0,3,L1,Murari Raja Raja Varma,F102,T Th,8,04/10 -  9.30 - 11.00AM,15/12 AN
,,,,,,,Amit Lalwani,,,,,
,,,,,,,Gantala Sarva Sai Nikhilesh,,,,,
,,,,,,,Himanshu Aggarwal,,,,,
,,,,,,,Keitumetse Ngaka,,,,,
,,,,,,,Kunja Chaitanya,,,,,
,,,,,,,Lakesh Kumar Sahoo,,,,,
,,,,,,,Priyanka Chakravarti,,,,,
,,,,,,,Srija Bhattacharya,,,,,
,,,,,,,KUMAR PRANAV NARAYAN,,,,,
,,,,,,,Murari Raja Raja Varma,F102,Th,1,04/10 -  9.30 - 11.00AM,15/12 AN
,,,,,,,Amit Lalwani,,,,,
,,,,,,,Gantala Sarva Sai Nikhilesh,,,,,
,,,,,,,Himanshu Aggarwal,,,,,
,,,,,,,Keitumetse Ngaka,,,,,
,,,,,,,Kumar Pranav Narayan,,,,,
,,,,,,,Kunja Chaitanya,,,,,
,,,,,,,Lakesh Kumar Sahoo,,,,,
,,,,,,,Priyanka Chakravarti,,,,,
,,,,,,,Srija Bhattacharya,,,,,
2517,BITS F232,"FOUNDATIONS OF DATA
STRUCTURES AND ALGORITHMS",3,1,4,L1,RAGHUNATH REDDY MADIREDDY,F106,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
,,,,,,P1,Raghunath Reddy Madireddy,D312,M,67,,
,,,,,,P2,Raghunath Reddy Madireddy,D311,T,67,,
,,,,,,P3,Sk Aziz Ali,D312,W,89,,
,,,,,,P4,Sk Aziz Ali,D313,F,89,,
2605,BITS F234,"INTRODUCTION TO ENGINEERING
DESIGN",3,1,4,L1,ARNAB GUHA,F101,M,4,,
,,,,,,P1,Kurra Suresh,D208 C,W,34,,
,,,,,,,Arnab Guha,,,,,
2751,BITS F240,"INTRO TO ENV & SUST SYS
ENGG",3,0,3,L1,MURARI RAJA RAJA VARMA,F101,M,3,,
,,,,,,,MURARI RAJA RAJA VARMA,F101,W,12,,
2277,BITS F314,"GAME THEORY AND ITS
APPLICATIONS",3,0,3,L1,DUSHYANT KUMAR,F205,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
1511,BITS F316,NONLINEAR DYNA & CHAOS,3,0,3,L1,P K THIRUVIKRAMAN,G207,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
,,,,,,,Aravinda Narayanan Raghavan,,,,,
2336,BITS F327,"ARTIFICIAL INTELLIGENCE FOR
ROBOTICS",2,1,3,L1,ABHISHEK SARKAR,G108,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,P1,Abhishek Sarkar,E210,Th,89,,
1512,BITS F385,INTRO TO GENDER STUDIES,3,0,3,L1,TONY SEBASTIAN,J219,M W F,9,07/10 - 3.30 - 5.00PM,04/12 AN
1337,BITS F386,QUANTUM INFO & COMPUTING,3,0,3,L1,SAI LAKSHMI RADHIKA TANTRAVAHI,G108,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
1248,BITS F415,INTRODUCTION TO MEMS,3,1,4,L1,SATISH KUMAR DUBEY,G204,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
,,,,,,P1,P Ramya Priya,J204,T,1011,,
,,,,,,,K S Deepak,,,,,
1808,BITS F416,INTRO TO NANO SCIENCE,3,0,3,L1,B. HARIHARA VENKATARAMAN,G208,M W F,4,08/10 - 9.30 - 11.00AM,05/12 FN
,,,,,,,Satya Narayana Murthy Vemulapati,,,,,
1770,BITS F418,INTRO TO BIOMEDICAL ENGG,3,1,4,L1,KAVI DEVRAJ,G104,M W F,2,10/10 - 11.30 - 1.00PM,10/12 AN
,,,,,,,Sudipta Maiti,,,,,
,,,,,,P1,Kavi Devraj,A112,,,,
,,,,,,,Pankaj Garg,,,,,
,,,,,,,Sudipta Maiti,,,,,
,,,,,,,Teena Chandna,,,,,
1794,BITS F428,ESSENTIALS OF STRATE MGT,3,0,3,L1,RAJASEKARAN RAGHUNATHAN,J218,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
1806,BITS F431,"FLEXIBLE MANUFACTURING
SYSTEMS",3,1,4,L1,ARSHAD JAVED,G207,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
,,,,,,P1,Cheruku Nikhil,W109,T,78,,
2001,BITS F437,TECHNICAL COMMUNICATION,3,0,3,L1,ANJANA KRISHNA S,J206,T Th,1,04/10 - 3.30 - 5.00PM,16/12 FN
,,,,,,,Aruna Lolla,,,,,
,,,,,,,Sarbani Banerjee Belur,,,,,
2434,BITS F452,BLOCKCHAIN TECHNOLOGY,3,0,3,L1,G GEETHAKUMARI,F106,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,G Geethakumari,F106,M,10,09/10 - 9.30 - 11.00AM,08/12 FN
2760,BITS F459,Computer Vision,3,1,3,L1,ARITRA MUKHERJEE,J218,T Th,2,09/10 - 9.30 - 11.00AM,08/12 FN
,,,,,,,Aritra Mukherjee,J218,M,10,10/10 - 3.30 - 5.00PM,11/12 AN
,,,,,,P1,Aritra Mukherjee,I015,T,89,,
1338,BITS F463,CRYPTOGRAPHY,3,0,3,L1,SABYASACHI DEY,G107,M W F,1,04/10 - 3.30 - 5.00PM,16/12 FN
1339,BITS F464,MACHINE LEARNING,3,0,3,L1,CHITTARANJAN HOTA,F106,T Th,10,10/10 - 3.30 - 5.00PM,11/12 FN
,,,,,,,Chittaranjan Hota,F106,F,7,10/10 - 3.30 - 5.00PM,11/12 FN
547,BITS G513,STUDY IN ADVANCED TOPICS,0,0,5,,ALIVELU MANGA PARIMI,,,,,
2619,BITS G524,"HEALTH ECONOMICS AND POLICY
I",3,0,5,L1,RISHI KUMAR,I114,M W F,4,10/10 - 11.30 - 1.00PM,10/12 AN
2621,BITS G526,DATA SCIENCES I,3,0,5,L1,PRAVEEN KUMAR P T V,I114,T Th,45,08/10 - 9.30 - 11.00AM,05/12 FN
,,,,,,,Naraparaju Kishore Kumar,,,,,
754,BITS G529,RESEARCH PROJECT I,0,0,6,,ALIVELU MANGA PARIMI,,,,,
755,BITS G539,RESEARCH PROJECT II,0,0,6,,ALIVELU MANGA PARIMI,,,,,
2003,BITS G540,RESEARCH PRACTICE,0,0,4,,ALIVELU MANGA PARIMI,,,,,
757,BITS G649,READING COURSE,0,0,5,,ALIVELU MANGA PARIMI,,,,,
1073,CE F211,MECHANICS OF SOLIDS,3,0,3,L1,CHANDU PARIMI,F109,T Th,2,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,P Raghu,,,,,
,,,,,,,Chandu Parimi,F109,M,10,09/10 - 11.30 - 1.00PM,08/12 AN
,,,,,,,P Raghu,,,,,
,,,,,,T1,Chandu Parimi,F109,W,1,,
,,,,,,,Boyina Kalyan,,,,,
,,,,,,,P Raghu,,,,,
1075,CE F213,SURVEYING,3,1,4,L1,K RAJITHA,F109,T Th,3,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,,K Rajitha,F109,W,10,11/10 -  3.30 - 5.00PM,13/12 AN
,,,,,,T1,K Rajitha,F109,M,1,,
,,,,,,P1,K Rajitha,D111,W,23,,
,,,,,,,Anuradha Tiwari,,,,,
,,,,,,P2,K Rajitha,D111,F,23,,
,,,,,,,Krishnendu Sivadas,,,,,
2279,CE F230,CIVIL ENGINEERING MATERIALS,3,1,4,L1,V VINAYAKA RAM,F109,M W F,4,08/10 - 11.30 - 1.00PM,05/12 AN
,,,,,,T1,V Vinayaka Ram,F109,T,10,,
,,,,,,P1,V Vinayaka Ram,D127,T,67,,
,,,,,,,Abishek Uma Shankar,,,,,
,,,,,,P2,V Vinayaka Ram,D127,Th,67,,
,,,,,,,Banoth Rajesh,,,,,
2280,CE F231,FLUID MECHANICS,3,0,3,L1,KOMARAGIRI SRINIVASA RAJU,F109,F,7,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,,Komaragiri Srinivasa Raju,F109,T Th,9,10/10 -  9.30 - 11.00AM,10/12 FN
,,,,,,T1,Komaragiri Srinivasa Raju,F109,F,1,,
1652,CE F266,STUDY PROJECT,0,0,3,,Akshay Gundla,,,,,
1196,CE F312,HYDRAULIC ENGINEERING,3,1,4,L1,JAGADEESH ANMALA,F109,M W F,5,08/10 - 1.30 - 3.00PM,06/12 FN
,,,,,,T1,Jagadeesh Anmala,F109,T,1,,
,,,,,,,Lavanya B,,,,,
,,,,,,P1,Jenisha Ma,E122,M,89,,
,,,,,,P2,Deepjyoti Deb,E122,T,89,,
1197,CE F313,FOUNDATION ENGINEERING,3,0,3,L1,SESHA SAI RAGHURAM AMMAVAJJALA,F109,T Th,4,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,,Sesha Sai Raghuram Ammavajjala,F109,W,7,11/10 - 9.30 - 11.00AM,12/12 FN
,,,,,,T1,Sesha Sai Raghuram Ammavajjala,F109,Th,1,,
